"","Symbol","company_name","sector","subsector","Enterprise Value/Revenue","rev","Revenue Per Share (ttm)","Quarterly Revenue Growth (yoy)","sql"
"144","XRAY","Dentsply Sirona","Health Care","Health Care Supplies","N/A",4.19e+09,"19.22","-6.00%","values ('XRAY', 'Dentsply Sirona', 'Health Care', 'Health Care Supplies',   4190000000) union all"
"145","DVN","Devon Energy","Energy","Oil & Gas Exploration & Production","N/A",1.748e+10,"26.48","78.90%","values ('DVN', 'Devon Energy', 'Energy', 'Oil & Gas Exploration & Production',  17480000000) union all"
"146","DXCM","Dexcom","Health Care","Health Care Equipment","N/A",2.67e+09,"6.87","17.00%","values ('DXCM', 'Dexcom', 'Health Care', 'Health Care Equipment',   2670000000) union all"
"147","FANG","Diamondback Energy","Energy","Oil & Gas Exploration & Production","N/A",8.64e+09,"48.31","56.50%","values ('FANG', 'Diamondback Energy', 'Energy', 'Oil & Gas Exploration & Production',   8640000000) union all"
"148","DLR","Digital Realty","Real Estate","Specialized REITs","N/A",4.51e+09,"15.84","0.50%","values ('DLR', 'Digital Realty', 'Real Estate', 'Specialized REITs',   4510000000) union all"
"149","DFS","Discover Financial","Financials","Consumer Finance","N/A",1.118e+10,"39.64","35.70%","values ('DFS', 'Discover Financial', 'Financials', 'Consumer Finance',  11180000000) union all"
"150","DISH","Dish Network","Communication Services","Cable & Satellite","N/A",1.708e+10,"32.26","-8.00%","values ('DISH', 'Dish Network', 'Communication Services', 'Cable & Satellite',  17080000000) union all"
"151","DIS","Disney","Communication Services","Movies & Entertainment","N/A",8.111e+10,"44.57","26.30%","values ('DIS', 'Disney', 'Communication Services', 'Movies & Entertainment',  81110000000) union all"
"152","DG","Dollar General","Consumer Discretionary","General Merchandise Stores","N/A",3.535e+10,"153.96","9.00%","values ('DG', 'Dollar General', 'Consumer Discretionary', 'General Merchandise Stores',  35350000000) union all"
"153","DLTR","Dollar Tree","Consumer Discretionary","General Merchandise Stores","N/A",2.717e+10,"120.86","6.70%","values ('DLTR', 'Dollar Tree', 'Consumer Discretionary', 'General Merchandise Stores',  27170000000) union all"
"154","D","Dominion Energy","Utilities","Electric Utilities","N/A",1.493e+10,"18.39","18.40%","values ('D', 'Dominion Energy', 'Utilities', 'Electric Utilities',  14930000000) union all"
"155","DPZ","Dominos","Consumer Discretionary","Restaurants","N/A",4.49e+09,"125.12","7.10%","values ('DPZ', 'Dominos', 'Consumer Discretionary', 'Restaurants',   4490000000) union all"
"156","DOV","Dover Corporation","Industrials","Industrial Machinery","N/A",8.36e+09,"58.20","6.90%","values ('DOV', 'Dover Corporation', 'Industrials', 'Industrial Machinery',   8360000000) union all"
"157","DOW","Dow Inc.","Materials","Commodity Chemicals","N/A",5.941e+10,"81.58","-4.90%","values ('DOW', 'Dow Inc.', 'Materials', 'Commodity Chemicals',  59410000000) union all"
"158","DUK","Duke Energy","Utilities","Electric Utilities","N/A",2.659e+10,"34.55","16.10%","values ('DUK', 'Duke Energy', 'Utilities', 'Electric Utilities',  26590000000) union all"
"159","DD","DuPont","Materials","Specialty Chemicals","N/A",1.713e+10,"33.35","7.00%","values ('DD', 'DuPont', 'Materials', 'Specialty Chemicals',  17130000000) union all"
"160","DXC","DXC Technology","Information Technology","IT Consulting & Other Services","N/A",1.583e+10,"64.76","-10.50%","values ('DXC', 'DXC Technology', 'Information Technology', 'IT Consulting & Other Services',  15830000000) union all"
"161","EMN","Eastman Chemical Company","Materials","Diversified Chemicals","N/A",1.091e+10,"83.71","4.90%","values ('EMN', 'Eastman Chemical Company', 'Materials', 'Diversified Chemicals',  10910000000) union all"
"162","ETN","Eaton Corporation","Industrials","Electrical Components & Equipment","N/A",1.978e+10,"49.57","-0.10%","values ('ETN', 'Eaton Corporation', 'Industrials', 'Electrical Components & Equipment',  19780000000) union all"
"163","EBAY","eBay","Consumer Discretionary","Internet & Direct Marketing Retail","N/A",1.002e+10,"16.74","-9.20%","values ('EBAY', 'eBay', 'Consumer Discretionary', 'Internet & Direct Marketing Retail',  10020000000) union all"
"164","ECL","Ecolab","Materials","Specialty Chemicals","N/A",1.353e+10,"47.29","13.20%","values ('ECL', 'Ecolab', 'Materials', 'Specialty Chemicals',  13530000000) union all"
"165","EIX","Edison International","Utilities","Electric Utilities","N/A",1.661e+10,"43.58","20.90%","values ('EIX', 'Edison International', 'Utilities', 'Electric Utilities',  16610000000) union all"
"166","EW","Edwards Lifesciences","Health Care","Health Care Equipment","N/A",5.35e+09,"8.60","-0.20%","values ('EW', 'Edwards Lifesciences', 'Health Care', 'Health Care Equipment',   5350000000) union all"
"167","EA","Electronic Arts","Communication Services","Interactive Home Entertainment","N/A",7.21e+09,"25.53","13.90%","values ('EA', 'Electronic Arts', 'Communication Services', 'Interactive Home Entertainment',   7210000000) union all"
"168","ELV","Elevance Health","Health Care","Managed Health Care","N/A",1.5325e+11,"636.03","11.50%","values ('ELV', 'Elevance Health', 'Health Care', 'Managed Health Care', 153250000000) union all"
"169","LLY","Eli Lilly and Company","Health Care","Pharmaceuticals","N/A",2.907e+10,"32.16","-3.70%","values ('LLY', 'Eli Lilly and Company', 'Health Care', 'Pharmaceuticals',  29070000000) union all"
"170","EMR","Emerson Electric","Industrials","Electrical Components & Equipment","N/A",1.922e+10,"32.33","6.60%","values ('EMR', 'Emerson Electric', 'Industrials', 'Electrical Components & Equipment',  19220000000) union all"
"171","ENPH","Enphase","Information Technology","Electronic Components","N/A",2.02e+09,"14.95","80.60%","values ('ENPH', 'Enphase', 'Information Technology', 'Electronic Components',   2020000000) union all"
"172","ETR","Entergy","Utilities","Electric Utilities","N/A",1.235e+10,"61.07","20.30%","values ('ETR', 'Entergy', 'Utilities', 'Electric Utilities',  12350000000) union all"
"173","EOG","EOG Resources","Energy","Oil & Gas Exploration & Production","N/A",2.666e+10,"45.81","92.40%","values ('EOG', 'EOG Resources', 'Energy', 'Oil & Gas Exploration & Production',  26660000000) union all"
"174","EPAM","EPAM Systems","Information Technology","IT Consulting & Other Services","N/A",4.46e+09,"78.44","35.60%","values ('EPAM', 'EPAM Systems', 'Information Technology', 'IT Consulting & Other Services',   4460000000) union all"
"175","EQT","EQT","Energy","Oil & Gas Exploration & Production","N/A",1.229e+10,"32.96","109.20%","values ('EQT', 'EQT', 'Energy', 'Oil & Gas Exploration & Production',  12290000000) union all"
"176","EFX","Equifax","Industrials","Research & Consulting Services","N/A",5.18e+09,"42.34","1.70%","values ('EFX', 'Equifax', 'Industrials', 'Research & Consulting Services',   5180000000) union all"
"177","EQIX","Equinix","Real Estate","Specialized REITs","N/A",6.56e+09,"72.48","9.60%","values ('EQIX', 'Equinix', 'Real Estate', 'Specialized REITs',   6560000000) union all"
"178","EQR","Equity Residential","Real Estate","Residential REITs","N/A",2.68e+09,"7.14","11.50%","values ('EQR', 'Equity Residential', 'Real Estate', 'Residential REITs',   2680000000) union all"
"179","ESS","Essex Property Trust","Real Estate","Residential REITs","N/A",1.64e+09,"25.18","8.40%","values ('ESS', 'Essex Property Trust', 'Real Estate', 'Residential REITs',   1640000000) union all"
"180","EL","The Estée Lauder Companies","Consumer Staples","Personal Products","N/A",1.774e+10,"49.27","-9.50%","values ('EL', 'The Estée Lauder Companies', 'Consumer Staples', 'Personal Products',  17740000000) union all"
"181","ETSY","Etsy","Consumer Discretionary","Internet & Direct Marketing Retail","N/A",2.41e+09,"18.94","10.60%","values ('ETSY', 'Etsy', 'Consumer Discretionary', 'Internet & Direct Marketing Retail',   2410000000) union all"
"182","RE","Everest Re","Financials","Reinsurance","N/A",1.2e+10,"309.49","4.90%","values ('RE', 'Everest Re', 'Financials', 'Reinsurance',  12000000000) union all"
"183","EVRG","Evergy","Utilities","Electric Utilities","N/A",5.41e+09,"23.54","17.00%","values ('EVRG', 'Evergy', 'Utilities', 'Electric Utilities',   5410000000) union all"
"184","ES","Eversource","Utilities","Multi-Utilities","N/A",1.096e+10,"31.78","21.20%","values ('ES', 'Eversource', 'Utilities', 'Multi-Utilities',  10960000000) union all"
"185","EXC","Exelon","Utilities","Multi-Utilities","N/A",3.726e+10,"38.00","5.40%","values ('EXC', 'Exelon', 'Utilities', 'Multi-Utilities',  37260000000) union all"
"186","EXPE","Expedia Group","Consumer Discretionary","Internet & Direct Marketing Retail","N/A",1.067e+10,"69.03","50.70%","values ('EXPE', 'Expedia Group', 'Consumer Discretionary', 'Internet & Direct Marketing Retail',  10670000000) union all"
"187","EXPD","Expeditors International","Industrials","Air Freight & Logistics","N/A",1.898e+10,"113.14","27.50%","values ('EXPD', 'Expeditors International', 'Industrials', 'Air Freight & Logistics',  18980000000) union all"
"188","EXR","Extra Space Storage","Real Estate","Specialized REITs","N/A",1.79e+09,"13.39","25.40%","values ('EXR', 'Extra Space Storage', 'Real Estate', 'Specialized REITs',   1790000000) union all"
"189","XOM","ExxonMobil","Energy","Integrated Oil & Gas","N/A",3.5496e+11,"83.28","68.90%","values ('XOM', 'ExxonMobil', 'Energy', 'Integrated Oil & Gas', 354960000000) union all"
"190","FFIV","F5, Inc.","Information Technology","Communications Equipment","N/A",2.7e+09,"44.73","2.60%","values ('FFIV', 'F5, Inc.', 'Information Technology', 'Communications Equipment',   2700000000) union all"
"191","FDS","FactSet","Financials","Financial Exchanges & Data","N/A",1.84e+09,"48.70","21.20%","values ('FDS', 'FactSet', 'Financials', 'Financial Exchanges & Data',   1840000000) union all"
"192","FAST","Fastenal","Industrials","Building Products","N/A",6.82e+09,"11.86","16.00%","values ('FAST', 'Fastenal', 'Industrials', 'Building Products',   6820000000) union all"
"193","FRT","Federal Realty","Real Estate","Retail REITs","N/A",1.03e+09,"13.15","15.20%","values ('FRT', 'Federal Realty', 'Real Estate', 'Retail REITs',   1030000000) union all"
"194","FDX","FedEx","Industrials","Air Freight & Logistics","N/A",9.475e+10,"362.68","5.60%","values ('FDX', 'FedEx', 'Industrials', 'Air Freight & Logistics',  94750000000) union all"
"195","FITB","Fifth Third Bank","Financials","Regional Banks","N/A",7.75e+09,"11.25","-2.80%","values ('FITB', 'Fifth Third Bank', 'Financials', 'Regional Banks',   7750000000) union all"
"196","FRC","First Republic Bank","Financials","Regional Banks","N/A",5.69e+09,"31.63","17.20%","values ('FRC', 'First Republic Bank', 'Financials', 'Regional Banks',   5690000000) union all"
"197","FE","FirstEnergy","Utilities","Electric Utilities","N/A",1.175e+10,"20.79","11.20%","values ('FE', 'FirstEnergy', 'Utilities', 'Electric Utilities',  11750000000) union all"
"198","FIS","FIS","Information Technology","Data Processing & Outsourced Services","N/A",1.439e+10,"23.57","7.00%","values ('FIS', 'FIS', 'Information Technology', 'Data Processing & Outsourced Services',  14390000000) union all"
"199","FISV","Fiserv","Information Technology","Data Processing & Outsourced Services","N/A",1.701e+10,"26.02","9.80%","values ('FISV', 'Fiserv', 'Information Technology', 'Data Processing & Outsourced Services',  17010000000) union all"
"200","FLT","Fleetcor","Information Technology","Data Processing & Outsourced Services","N/A",3.21e+09,"40.60","29.10%","values ('FLT', 'Fleetcor', 'Information Technology', 'Data Processing & Outsourced Services',   3210000000) union all"
"201","FMC","FMC Corporation","Materials","Fertilizers & Agricultural Chemicals","N/A",5.41e+09,"42.67","16.90%","values ('FMC', 'FMC Corporation', 'Materials', 'Fertilizers & Agricultural Chemicals',   5410000000) union all"
"202","F","Ford Motor Company","Consumer Discretionary","Automobile Manufacturers","N/A",1.4803e+11,"36.96","50.20%","values ('F', 'Ford Motor Company', 'Consumer Discretionary', 'Automobile Manufacturers', 148030000000) union all"
"203","FTNT","Fortinet","Information Technology","Systems Software","N/A",3.82e+09,"4.72","28.60%","values ('FTNT', 'Fortinet', 'Information Technology', 'Systems Software',   3820000000) union all"
"204","FTV","Fortive","Industrials","Industrial Machinery","N/A",5.67e+09,"15.85","12.00%","values ('FTV', 'Fortive', 'Industrials', 'Industrial Machinery',   5670000000) union all"
"205","FBHS","Fortune Brands Home & Security","Industrials","Building Products","N/A",8.04e+09,"61.25","3.40%","values ('FBHS', 'Fortune Brands Home & Security', 'Industrials', 'Building Products',   8040000000) union all"
"206","FOXA","Fox Corporation (Class A)","Communication Services","Movies & Entertainment","N/A",1.397e+10,"24.69","4.90%","values ('FOXA', 'Fox Corporation (Class A)', 'Communication Services', 'Movies & Entertainment',  13970000000) union all"
"207","FOX","Fox Corporation (Class B)","Communication Services","Movies & Entertainment","N/A",1.397e+10,"24.69","4.90%","values ('FOX', 'Fox Corporation (Class B)', 'Communication Services', 'Movies & Entertainment',  13970000000) union all"
"208","BEN","Franklin Templeton","Financials","Asset Management & Custody Banks","N/A",8.52e+09,"17.42","-6.50%","values ('BEN', 'Franklin Templeton', 'Financials', 'Asset Management & Custody Banks',   8520000000) union all"
"209","FCX","Freeport-McMoRan","Materials","Copper","N/A",2.319e+10,"16.03","-17.80%","values ('FCX', 'Freeport-McMoRan', 'Materials', 'Copper',  23190000000) union all"
"210","GRMN","Garmin","Consumer Discretionary","Consumer Electronics","N/A",4.95e+09,"25.66","-4.30%","values ('GRMN', 'Garmin', 'Consumer Discretionary', 'Consumer Electronics',   4950000000) union all"
"211","IT","Gartner","Information Technology","IT Consulting & Other Services","N/A",5.1e+09,"62.15","17.90%","values ('IT', 'Gartner', 'Information Technology', 'IT Consulting & Other Services',   5100000000) union all"
"212","GNRC","Generac","Industrials","Electrical Components & Equipment","N/A",4.44e+09,"70.18","40.40%","values ('GNRC', 'Generac', 'Industrials', 'Electrical Components & Equipment',   4440000000) union all"
"213","GD","General Dynamics","Industrials","Aerospace & Defense","N/A",3.885e+10,"140.56","4.30%","values ('GD', 'General Dynamics', 'Industrials', 'Aerospace & Defense',  38850000000) union all"
"214","GE","General Electric","Industrials","Industrial Conglomerates","N/A",7.507e+10,"68.37","2.80%","values ('GE', 'General Electric', 'Industrials', 'Industrial Conglomerates',  75070000000) union all"
"215","GIS","General Mills","Consumer Staples","Packaged Foods & Meats","N/A",1.917e+10,"31.69","3.90%","values ('GIS', 'General Mills', 'Consumer Staples', 'Packaged Foods & Meats',  19170000000) union all"
"216","GM","General Motors","Consumer Discretionary","Automobile Manufacturers","N/A",1.4721e+11,"101.19","56.40%","values ('GM', 'General Motors', 'Consumer Discretionary', 'Automobile Manufacturers', 147210000000) union all"
"217","GPC","Genuine Parts Company","Consumer Discretionary","Specialty Stores","N/A",2.138e+10,"150.77","17.80%","values ('GPC', 'Genuine Parts Company', 'Consumer Discretionary', 'Specialty Stores',  21380000000) union all"
"218","GILD","Gilead Sciences","Health Care","Biotechnology","N/A",2.752e+10,"21.92","0.70%","values ('GILD', 'Gilead Sciences', 'Health Care', 'Biotechnology',  27520000000) union all"
"219","GL","Globe Life","Financials","Life & Health Insurance","N/A",5.19e+09,"52.53","1.10%","values ('GL', 'Globe Life', 'Financials', 'Life & Health Insurance',   5190000000) union all"
"220","GPN","Global Payments","Information Technology","Data Processing & Outsourced Services","N/A",8.83e+09,"31.01","6.70%","values ('GPN', 'Global Payments', 'Information Technology', 'Data Processing & Outsourced Services',   8830000000) union all"
"221","GS","Goldman Sachs","Financials","Investment Banking & Brokerage","N/A",4.732e+10,"134.67","-14.70%","values ('GS', 'Goldman Sachs', 'Financials', 'Investment Banking & Brokerage',  47320000000) union all"
"222","HAL","Halliburton","Energy","Oil & Gas Equipment & Services","N/A",1.899e+10,"21.06","38.80%","values ('HAL', 'Halliburton', 'Energy', 'Oil & Gas Equipment & Services',  18990000000) union all"
"223","HIG","Hartford (The)","Financials","Property & Casualty Insurance","N/A",2.223e+10,"66.15","-3.80%","values ('HIG', 'Hartford (The)', 'Financials', 'Property & Casualty Insurance',  22230000000) union all"
"224","HAS","Hasbro","Consumer Discretionary","Leisure Products","N/A",6.19e+09,"44.62","-14.90%","values ('HAS', 'Hasbro', 'Consumer Discretionary', 'Leisure Products',   6190000000) union all"
"225","HCA","HCA Healthcare","Health Care","Health Care Facilities","N/A",5.98e+10,"201.58","-2.00%","values ('HCA', 'HCA Healthcare', 'Health Care', 'Health Care Facilities',  59800000000) union all"
"226","PEAK","Healthpeak","Real Estate","Health Care REITs","N/A",1.98e+09,"3.67","8.80%","values ('PEAK', 'Healthpeak', 'Real Estate', 'Health Care REITs',   1980000000) union all"
"227","HSIC","Henry Schein","Health Care","Health Care Distributors","N/A",1.272e+10,"92.10","2.10%","values ('HSIC', 'Henry Schein', 'Health Care', 'Health Care Distributors',  12720000000) union all"
"228","HSY","Hersheys","Consumer Staples","Packaged Foods & Meats","N/A",9.72e+09,"47.20","19.30%","values ('HSY', 'Hersheys', 'Consumer Staples', 'Packaged Foods & Meats',   9720000000) union all"
"229","HES","Hess Corporation","Energy","Integrated Oil & Gas","N/A",1.038e+10,"33.68","77.60%","values ('HES', 'Hess Corporation', 'Energy', 'Integrated Oil & Gas',  10380000000) union all"
"230","HPE","Hewlett Packard Enterprise","Information Technology","Technology Hardware, Storage & Peripherals","N/A",2.798e+10,"21.40","0.80%","values ('HPE', 'Hewlett Packard Enterprise', 'Information Technology', 'Technology Hardware, Storage & Peripherals',  27980000000) union all"
"231","HLT","Hilton Worldwide","Consumer Discretionary","Hotels, Resorts & Cruise Lines","N/A",3.44e+09,"12.37","37.80%","values ('HLT', 'Hilton Worldwide', 'Consumer Discretionary', 'Hotels, Resorts & Cruise Lines',   3440000000) union all"
"232","HOLX","Hologic","Health Care","Health Care Equipment","N/A",5.23e+09,"20.68","-14.20%","values ('HOLX', 'Hologic', 'Health Care', 'Health Care Equipment',   5230000000) union all"
"233","HD","The Home Depot","Consumer Discretionary","Home Improvement Retail","N/A",1.5524e+11,"149.99","6.50%","values ('HD', 'The Home Depot', 'Consumer Discretionary', 'Home Improvement Retail', 155240000000) union all"
"234","HON","Honeywell","Industrials","Industrial Conglomerates","N/A",3.494e+10,"51.26","5.60%","values ('HON', 'Honeywell', 'Industrials', 'Industrial Conglomerates',  34940000000) union all"
"235","HRL","Hormel Foods","Consumer Staples","Packaged Foods & Meats","N/A",1.263e+10,"23.22","6.00%","values ('HRL', 'Hormel Foods', 'Consumer Staples', 'Packaged Foods & Meats',  12630000000) union all"
"236","HST","Host Hotels & Resorts","Real Estate","Hotel & Resort REITs","N/A",4.3e+09,"6.02","105.20%","values ('HST', 'Host Hotels & Resorts', 'Real Estate', 'Hotel & Resort REITs',   4300000000) union all"
"237","HWM","Howmet Aerospace","Industrials","Aerospace & Defense","N/A",5.29e+09,"12.51","16.60%","values ('HWM', 'Howmet Aerospace', 'Industrials', 'Aerospace & Defense',   5290000000) union all"
"238","HPQ","HP Inc.","Information Technology","Technology Hardware, Storage & Peripherals","N/A",6.486e+10,"60.57","-4.10%","values ('HPQ', 'HP Inc.', 'Information Technology', 'Technology Hardware, Storage & Peripherals',  64860000000) union all"
"239","HUM","Humana","Health Care","Managed Health Care","N/A",9.051e+10,"709.08","14.60%","values ('HUM', 'Humana', 'Health Care', 'Managed Health Care',  90510000000) union all"
"240","HBAN","Huntington Bancshares","Financials","Regional Banks","N/A",6.8e+09,"4.72","2.30%","values ('HBAN', 'Huntington Bancshares', 'Financials', 'Regional Banks',   6800000000) union all"
"241","HII","Huntington Ingalls Industries","Industrials","Aerospace & Defense","N/A",1.025e+10,"255.05","19.30%","values ('HII', 'Huntington Ingalls Industries', 'Industrials', 'Aerospace & Defense',  10250000000) union all"
"242","IBM","IBM","Information Technology","IT Consulting & Other Services","N/A",6.053e+10,"67.20","6.50%","values ('IBM', 'IBM', 'Information Technology', 'IT Consulting & Other Services',  60530000000) union all"
"243","IEX","IDEX Corporation","Industrials","Industrial Machinery","N/A",3.09e+09,"40.69","15.70%","values ('IEX', 'IDEX Corporation', 'Industrials', 'Industrial Machinery',   3090000000) union all"
"244","IDXX","Idexx Laboratories","Health Care","Health Care Equipment","N/A",3.31e+09,"39.12","4.20%","values ('IDXX', 'Idexx Laboratories', 'Health Care', 'Health Care Equipment',   3310000000) union all"
"245","ITW","Illinois Tool Works","Industrials","Industrial Machinery","N/A",1.564e+10,"50.23","12.80%","values ('ITW', 'Illinois Tool Works', 'Industrials', 'Industrial Machinery',  15640000000) union all"
"246","ILMN","Illumina","Health Care","Life Sciences Tools & Services","N/A",4.69e+09,"30.18","3.20%","values ('ILMN', 'Illumina', 'Health Care', 'Life Sciences Tools & Services',   4690000000) union all"
"247","INCY","Incyte","Health Care","Biotechnology","N/A",3.32e+09,"15.01","29.10%","values ('INCY', 'Incyte', 'Health Care', 'Biotechnology',   3320000000) union all"
"248","IR","Ingersoll Rand","Industrials","Industrial Machinery","N/A",5.52e+09,"13.53","12.60%","values ('IR', 'Ingersoll Rand', 'Industrials', 'Industrial Machinery',   5520000000) union all"
"249","INTC","Intel","Information Technology","Semiconductors","N/A",7.339e+10,"17.99","-22.00%","values ('INTC', 'Intel', 'Information Technology', 'Semiconductors',  73390000000) union all"
"250","ICE","Intercontinental Exchange","Financials","Financial Exchanges & Data","N/A",7.35e+09,"13.11","6.30%","values ('ICE', 'Intercontinental Exchange', 'Financials', 'Financial Exchanges & Data',   7350000000) union all"
"251","IP","International Paper","Materials","Paper Packaging","N/A",2.063e+10,"54.42","13.00%","values ('IP', 'International Paper', 'Materials', 'Paper Packaging',  20630000000) union all"
"252","IPG","The Interpublic Group of Companies","Communication Services","Advertising","N/A",9.45e+09,"24.05","1.50%","values ('IPG', 'The Interpublic Group of Companies', 'Communication Services', 'Advertising',   9450000000) union all"
"253","IFF","International Flavors & Fragrances","Materials","Specialty Chemicals","N/A",1.263e+10,"49.45","7.10%","values ('IFF', 'International Flavors & Fragrances', 'Materials', 'Specialty Chemicals',  12630000000) union all"
"254","INTU","Intuit","Information Technology","Application Software","N/A",1.273e+10,"45.45","-5.70%","values ('INTU', 'Intuit', 'Information Technology', 'Application Software',  12730000000) union all"
"255","ISRG","Intuitive Surgical","Health Care","Health Care Equipment","N/A",6.12e+09,"17.12","11.00%","values ('ISRG', 'Intuitive Surgical', 'Health Care', 'Health Care Equipment',   6120000000) union all"
"256","IVZ","Invesco","Financials","Asset Management & Custody Banks","N/A",6.37e+09,"13.87","-17.40%","values ('IVZ', 'Invesco', 'Financials', 'Asset Management & Custody Banks',   6370000000) union all"
"257","INVH","Invitation Homes","Real Estate","Residential REITs","N/A",2.17e+09,"3.58","11.40%","values ('INVH', 'Invitation Homes', 'Real Estate', 'Residential REITs',   2170000000) union all"
"258","IQV","IQVIA","Health Care","Life Sciences Tools & Services","N/A",1.431e+10,"75.70","5.00%","values ('IQV', 'IQVIA', 'Health Care', 'Life Sciences Tools & Services',  14310000000) union all"
"259","IRM","Iron Mountain","Real Estate","Specialized REITs","N/A",4.83e+09,"16.63","15.20%","values ('IRM', 'Iron Mountain', 'Real Estate', 'Specialized REITs',   4830000000) union all"
"260","JBHT","J.B. Hunt","Industrials","Trucking","N/A",1.466e+10,"140.38","22.10%","values ('JBHT', 'J.B. Hunt', 'Industrials', 'Trucking',  14660000000) union all"
"261","JKHY","Jack Henry & Associates","Information Technology","Data Processing & Outsourced Services","N/A",1.94e+09,"26.50","7.20%","values ('JKHY', 'Jack Henry & Associates', 'Information Technology', 'Data Processing & Outsourced Services',   1940000000) union all"
"262","J","Jacobs Solutions","Industrials","Construction & Engineering","N/A",1.463e+10,"113.17","7.00%","values ('J', 'Jacobs Solutions', 'Industrials', 'Construction & Engineering',  14630000000) union all"
"263","JNJ","Johnson & Johnson","Health Care","Pharmaceuticals","N/A",9.604e+10,"36.56","1.90%","values ('JNJ', 'Johnson & Johnson', 'Health Care', 'Pharmaceuticals',  96040000000) union all"
"264","JCI","Johnson Controls","Industrials","Building Products","N/A",2.497e+10,"35.57","4.30%","values ('JCI', 'Johnson Controls', 'Industrials', 'Building Products',  24970000000) union all"
"265","JPM","JPMorgan Chase","Financials","Diversified Banks","N/A",1.2059e+11,"40.61","0.00%","values ('JPM', 'JPMorgan Chase', 'Financials', 'Diversified Banks', 120590000000) union all"
"266","JNPR","Juniper Networks","Information Technology","Communications Equipment","N/A",5.15e+09,"16.00","19.00%","values ('JNPR', 'Juniper Networks', 'Information Technology', 'Communications Equipment',   5150000000) union all"
"267","K","Kelloggs","Consumer Staples","Packaged Foods & Meats","N/A",1.458e+10,"42.78","8.70%","values ('K', 'Kelloggs', 'Consumer Staples', 'Packaged Foods & Meats',  14580000000) union all"
"268","KDP","Keurig Dr Pepper","Consumer Staples","Soft Drinks","N/A",1.364e+10,"9.63","11.40%","values ('KDP', 'Keurig Dr Pepper', 'Consumer Staples', 'Soft Drinks',  13640000000) union all"
"269","KEY","KeyCorp","Financials","Regional Banks","N/A",7.06e+09,"7.64","-7.80%","values ('KEY', 'KeyCorp', 'Financials', 'Regional Banks',   7060000000) union all"
"270","KEYS","Keysight","Information Technology","Electronic Equipment & Instruments","N/A",5.27e+09,"28.96","10.40%","values ('KEYS', 'Keysight', 'Information Technology', 'Electronic Equipment & Instruments',   5270000000) union all"
"271","KMB","Kimberly-Clark","Consumer Staples","Household Products","N/A",2.018e+10,"59.83","0.90%","values ('KMB', 'Kimberly-Clark', 'Consumer Staples', 'Household Products',  20180000000) union all"
"272","KIM","Kimco Realty","Real Estate","Retail REITs","N/A",1.65e+09,"2.75","47.80%","values ('KIM', 'Kimco Realty', 'Real Estate', 'Retail REITs',   1650000000) union all"
"273","KMI","Kinder Morgan","Energy","Oil & Gas Storage & Transportation","N/A",1.905e+10,"8.41","35.40%","values ('KMI', 'Kinder Morgan', 'Energy', 'Oil & Gas Storage & Transportation',  19050000000) union all"
"274","KLAC","KLA Corporation","Information Technology","Semiconductor Equipment","N/A",9.85e+09,"66.63","30.70%","values ('KLAC', 'KLA Corporation', 'Information Technology', 'Semiconductor Equipment',   9850000000) union all"
"275","KHC","Kraft Heinz","Consumer Staples","Packaged Foods & Meats","N/A",2.563e+10,"20.92","-0.90%","values ('KHC', 'Kraft Heinz', 'Consumer Staples', 'Packaged Foods & Meats',  25630000000) union all"
"276","KR","Kroger","Consumer Staples","Food Retail","N/A",1.4415e+11,"197.73","9.30%","values ('KR', 'Kroger', 'Consumer Staples', 'Food Retail', 144150000000) union all"
"277","LHX","L3Harris","Industrials","Aerospace & Defense","N/A",1.682e+10,"86.24","-11.40%","values ('LHX', 'L3Harris', 'Industrials', 'Aerospace & Defense',  16820000000) union all"
"278","LH","LabCorp","Health Care","Health Care Services","N/A",1.572e+10,"166.65","-3.70%","values ('LH', 'LabCorp', 'Health Care', 'Health Care Services',  15720000000) union all"
"279","LRCX","Lam Research","Information Technology","Semiconductor Equipment","N/A",1.8e+10,"129.77","17.90%","values ('LRCX', 'Lam Research', 'Information Technology', 'Semiconductor Equipment',  18000000000) union all"
"280","LW","Lamb Weston","Consumer Staples","Packaged Foods & Meats","N/A",4.24e+09,"29.26","14.40%","values ('LW', 'Lamb Weston', 'Consumer Staples', 'Packaged Foods & Meats',   4240000000) union all"
"281","LVS","Las Vegas Sands","Consumer Discretionary","Casinos & Gaming","N/A",4e+09,"5.24","17.30%","values ('LVS', 'Las Vegas Sands', 'Consumer Discretionary', 'Casinos & Gaming',   4000000000) union all"
"282","LDOS","Leidos","Industrials","Diversified Support Services","N/A",1.407e+10,"100.82","4.30%","values ('LDOS', 'Leidos', 'Industrials', 'Diversified Support Services',  14070000000) union all"
"283","LEN","Lennar","Consumer Discretionary","Homebuilding","N/A",3.193e+10,"108.87","28.70%","values ('LEN', 'Lennar', 'Consumer Discretionary', 'Homebuilding',  31930000000) union all"
"284","LNC","Lincoln Financial","Financials","Multi-line Insurance","N/A",1.963e+10,"110.16","5.20%","values ('LNC', 'Lincoln Financial', 'Financials', 'Multi-line Insurance',  19630000000) union all"
"285","LIN","Linde plc","Materials","Industrial Gases","N/A",3.263e+10,"64.17","11.50%","values ('LIN', 'Linde plc', 'Materials', 'Industrial Gases',  32630000000) union all"
